ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030098	BP	GO:0030098	lymphocyte differentiation	17/131	425/20973	1.34869280405176e-09	3.20719148803509e-06	2.83083521187286e-06	ENSG00000171608/ENSG00000143772/ENSG00000115738/ENSG00000163513/ENSG00000114861/ENSG00000138795/ENSG00000121210/ENSG00000081059/ENSG00000131507/ENSG00000113263/ENSG00000185811/ENSG00000008513/ENSG00000135426/ENSG00000127152/ENSG00000126353/ENSG00000168610/ENSG00000142168	17
GO:1903706	BP	GO:1903706	regulation of hemopoiesis	13/131	448/20973	4.78670868888931e-06	0.00284569831554469	0.0025117624014856	ENSG00000143772/ENSG00000115738/ENSG00000163513/ENSG00000114861/ENSG00000138795/ENSG00000121210/ENSG00000081059/ENSG00000131507/ENSG00000134954/ENSG00000135426/ENSG00000168610/ENSG00000154229/ENSG00000142168	13
GO:0045766	BP	GO:0045766	positive regulation of angiogenesis	8/131	192/20973	2.82314974998667e-05	0.00610313645951664	0.0053869479439937	ENSG00000171608/ENSG00000162434/ENSG00000163513/ENSG00000134954/ENSG00000133639/ENSG00000168610/ENSG00000154229/ENSG00000167664	8
GO:1904018	BP	GO:1904018	positive regulation of vasculature development	8/131	192/20973	2.82314974998667e-05	0.00610313645951664	0.0053869479439937	ENSG00000171608/ENSG00000162434/ENSG00000163513/ENSG00000134954/ENSG00000133639/ENSG00000168610/ENSG00000154229/ENSG00000167664	8
GO:0050863	BP	GO:0050863	regulation of T cell activation	12/131	488/20973	5.70542158708444e-05	0.0113062437784057	0.00997948302161962	ENSG00000196352/ENSG00000143772/ENSG00000163513/ENSG00000138795/ENSG00000121210/ENSG00000134352/ENSG00000081059/ENSG00000131507/ENSG00000135426/ENSG00000126353/ENSG00000167664/ENSG00000142168	12
GO:0046631	BP	GO:0046631	alpha-beta T cell activation	8/131	215/20973	6.29292664210521e-05	0.0115112150422509	0.0101604013962411	ENSG00000196352/ENSG00000143772/ENSG00000163513/ENSG00000114861/ENSG00000138795/ENSG00000113263/ENSG00000127152/ENSG00000168610	8
GO:0019216	BP	GO:0019216	regulation of lipid metabolic process	10/131	363/20973	9.62251292459733e-05	0.0163445255247803	0.0144265344147722	ENSG00000157978/ENSG00000115738/ENSG00000181722/ENSG00000120915/ENSG00000169398/ENSG00000127152/ENSG00000140443/ENSG00000126353/ENSG00000142168/ENSG00000100100	10
GO:0050852	BP	GO:0050852	T cell receptor signaling pathway	7/131	178/20973	0.000129933301005774	0.0205987593194487	0.018181544014422	ENSG00000171608/ENSG00000198821/ENSG00000131378/ENSG00000074966/ENSG00000113263/ENSG00000135426/ENSG00000126353	7
GO:0033151	BP	GO:0033151	V(D)J recombination	3/131	18/20973	0.000181443053876797	0.0239706434510569	0.0211577455807213	ENSG00000138795/ENSG00000081059/ENSG00000127152	3
GO:0002262	BP	GO:0002262	myeloid cell homeostasis	7/131	192/20973	0.000207224632551297	0.0245551661144737	0.0216736759029085	ENSG00000171608/ENSG00000143772/ENSG00000115738/ENSG00000185811/ENSG00000134954/ENSG00000168610/ENSG00000142168	7
GO:0060438	BP	GO:0060438	trachea development	3/131	19/20973	0.000214481251754592	0.0245551661144737	0.0216736759029085	ENSG00000163513/ENSG00000138795/ENSG00000158813	3
GO:0198738	BP	GO:0198738	cell-cell signaling by wnt	11/131	481/20973	0.00022053869333353	0.0245551661144737	0.0216736759029085	ENSG00000186854/ENSG00000138795/ENSG00000121210/ENSG00000081059/ENSG00000112038/ENSG00000171843/ENSG00000198873/ENSG00000150907/ENSG00000134882/ENSG00000183691/ENSG00000158813	11
GO:1903037	BP	GO:1903037	regulation of leukocyte cell-cell adhesion	11/131	498/20973	0.000296699551435991	0.0293979805547827	0.0259481976124283	ENSG00000196352/ENSG00000143772/ENSG00000163513/ENSG00000138795/ENSG00000121210/ENSG00000134352/ENSG00000131507/ENSG00000134954/ENSG00000135426/ENSG00000126353/ENSG00000167664	11
GO:2000106	BP	GO:2000106	regulation of leukocyte apoptotic process	5/131	96/20973	0.000341586028139313	0.0324916629966115	0.0286788437940965	ENSG00000171608/ENSG00000143772/ENSG00000114861/ENSG00000008513/ENSG00000126353	5
GO:0060396	BP	GO:0060396	growth hormone receptor signaling pathway	3/131	25/20973	0.000495332857061237	0.0406172942790214	0.0358509516145229	ENSG00000162434/ENSG00000169398/ENSG00000168610	3
GO:0070102	BP	GO:0070102	interleukin-6-mediated signaling pathway	3/131	27/20973	0.000624214939760869	0.0424109464786099	0.0374341230040052	ENSG00000162434/ENSG00000134352/ENSG00000168610	3
GO:0048661	BP	GO:0048661	positive regulation of smooth muscle cell proliferation	5/131	112/20973	0.000692454393287739	0.044504231006439	0.0392817655822404	ENSG00000157978/ENSG00000115738/ENSG00000163513/ENSG00000114861/ENSG00000140443	5
GO:0038083	BP	GO:0038083	peptidyl-tyrosine autophosphorylation	3/131	29/20973	0.000772712666822706	0.0483555453080104	0.0426811373308719	ENSG00000074966/ENSG00000113263/ENSG00000140443	3
GO:0001965	MF	GO:0001965	G-protein alpha-subunit binding	4/135	24/20738	1.64949331645633e-05	0.00544332794430589	0.00505265847461887	ENSG00000112038/ENSG00000148908/ENSG00000070081/ENSG00000140443	4
GO:0004715	MF	GO:0004715	non-membrane spanning protein tyrosine kinase activity	4/135	48/20738	0.000267642672001711	0.0441610408802824	0.0409915881855253	ENSG00000162434/ENSG00000074966/ENSG00000113263/ENSG00000169398	4
