ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0002484	GO:0002484	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway	13/91	44/20973	3.67849477278177e-21	3.39525067527758e-18	2.84599332420485e-18	ENSG00000234745/ENSG00000206450/ENSG00000228964/ENSG00000223532/ENSG00000224608/ENSG00000232126/ENSG00000204525/ENSG00000206435/ENSG00000233841/ENSG00000237022/ENSG00000206452/ENSG00000228299/ENSG00000225691	13
GO:0002486	GO:0002486	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent	13/91	44/20973	3.67849477278177e-21	3.39525067527758e-18	2.84599332420485e-18	ENSG00000234745/ENSG00000206450/ENSG00000228964/ENSG00000223532/ENSG00000224608/ENSG00000232126/ENSG00000204525/ENSG00000206435/ENSG00000233841/ENSG00000237022/ENSG00000206452/ENSG00000228299/ENSG00000225691	13
GO:0002474	GO:0002474	antigen processing and presentation of peptide antigen via MHC class I	13/91	85/20973	4.54129265223799e-17	1.96838738881495e-14	1.64995692624621e-14	ENSG00000234745/ENSG00000206450/ENSG00000228964/ENSG00000223532/ENSG00000224608/ENSG00000232126/ENSG00000204525/ENSG00000206435/ENSG00000233841/ENSG00000237022/ENSG00000206452/ENSG00000228299/ENSG00000225691	13
GO:1903131	GO:1903131	mononuclear cell differentiation	17/91	500/20973	4.48140515903072e-11	9.19185991507856e-09	7.7048720278072e-09	ENSG00000234745/ENSG00000206450/ENSG00000228964/ENSG00000223532/ENSG00000224608/ENSG00000232126/ENSG00000115904/ENSG00000126353/ENSG00000168421/ENSG00000081059/ENSG00000069667/ENSG00000168610/ENSG00000149177/ENSG00000159216/ENSG00000198846/ENSG00000100219/ENSG00000020633	17
GO:0002249	GO:0002249	lymphocyte anergy	6/91	17/20973	6.72164206831146e-11	9.54473173700227e-09	8.00065898009542e-09	ENSG00000234745/ENSG00000206450/ENSG00000228964/ENSG00000223532/ENSG00000224608/ENSG00000232126	6
GO:0002667	GO:0002667	regulation of T cell anergy	6/91	17/20973	6.72164206831146e-11	9.54473173700227e-09	8.00065898009542e-09	ENSG00000234745/ENSG00000206450/ENSG00000228964/ENSG00000223532/ENSG00000224608/ENSG00000232126	6
GO:0002870	GO:0002870	T cell anergy	6/91	17/20973	6.72164206831146e-11	9.54473173700227e-09	8.00065898009542e-09	ENSG00000234745/ENSG00000206450/ENSG00000228964/ENSG00000223532/ENSG00000224608/ENSG00000232126	6
GO:0002911	GO:0002911	regulation of lymphocyte anergy	6/91	17/20973	6.72164206831146e-11	9.54473173700227e-09	8.00065898009542e-09	ENSG00000234745/ENSG00000206450/ENSG00000228964/ENSG00000223532/ENSG00000224608/ENSG00000232126	6
GO:1902105	GO:1902105	regulation of leukocyte differentiation	13/91	347/20973	3.34123124788943e-09	4.13804695454151e-07	3.46862577588871e-07	ENSG00000234745/ENSG00000206450/ENSG00000228964/ENSG00000223532/ENSG00000224608/ENSG00000232126/ENSG00000115904/ENSG00000168421/ENSG00000081059/ENSG00000159216/ENSG00000198846/ENSG00000100219/ENSG00000020633	13
GO:0070527	GO:0070527	platelet aggregation	8/91	85/20973	3.36244335417783e-09	4.13804695454151e-07	3.46862577588871e-07	ENSG00000184009/ENSG00000213719/ENSG00000226651/ENSG00000230685/ENSG00000223639/ENSG00000226248/ENSG00000226417/ENSG00000206394	8
