ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0043087	GO:0043087	regulation of GTPase activity	9/59	413/20973	2.14703727603627e-06	0.00120981625167791	0.000925652448711621	ENSG00000114423/ENSG00000126353/ENSG00000075884/ENSG00000169398/ENSG00000163219/ENSG00000065882/ENSG00000135905/ENSG00000169756/ENSG00000116473	9
GO:0050854	GO:0050854	regulation of antigen receptor-mediated signaling pathway	5/59	75/20973	2.19973279948906e-06	0.00120981625167791	0.000925652448711621	ENSG00000166501/ENSG00000114423/ENSG00000126353/ENSG00000136573/ENSG00000285369	5
GO:0002431	GO:0002431	Fc receptor mediated stimulatory signaling pathway	4/59	35/20973	2.77054536264846e-06	0.00120981625167791	0.000925652448711621	ENSG00000010810/ENSG00000169398/ENSG00000136573/ENSG00000285369	4
GO:0022604	GO:0022604	regulation of cell morphogenesis	8/59	328/20973	3.64128292453847e-06	0.00120981625167791	0.000925652448711621	ENSG00000010810/ENSG00000275342/ENSG00000128340/ENSG00000075884/ENSG00000169398/ENSG00000257923/ENSG00000169756/ENSG00000026508	8
GO:1903510	GO:1903510	mucopolysaccharide metabolic process	5/59	92/20973	6.04328407545783e-06	0.00160630490725669	0.00122901314039837	ENSG00000103489/ENSG00000285395/ENSG00000171310/ENSG00000111962/ENSG00000026508	5
GO:0097048	GO:0097048	dendritic cell apoptotic process	3/59	16/20973	1.15374734919088e-05	0.00219047175296382	0.00167596983356149	ENSG00000126353/ENSG00000136573/ENSG00000285369	3
GO:2000668	GO:2000668	regulation of dendritic cell apoptotic process	3/59	16/20973	1.15374734919088e-05	0.00219047175296382	0.00167596983356149	ENSG00000126353/ENSG00000136573/ENSG00000285369	3
GO:0030206	GO:0030206	chondroitin sulfate biosynthetic process	3/59	19/20973	1.98443956112263e-05	0.00329665022091497	0.00252232712637429	ENSG00000103489/ENSG00000285395/ENSG00000171310	3
GO:1903305	GO:1903305	regulation of regulated secretory pathway	5/59	152/20973	6.83681639253077e-05	0.00606485038865413	0.00464032749232893	ENSG00000166501/ENSG00000128340/ENSG00000136573/ENSG00000285369/ENSG00000116473	5
GO:0006024	GO:0006024	glycosaminoglycan biosynthetic process	4/59	82/20973	8.38704586172898e-05	0.00606485038865413	0.00464032749232893	ENSG00000103489/ENSG00000285395/ENSG00000171310/ENSG00000111962	4
GO:0006029	GO:0006029	proteoglycan metabolic process	4/59	84/20973	9.21365578013291e-05	0.00606485038865413	0.00464032749232893	ENSG00000103489/ENSG00000285395/ENSG00000171310/ENSG00000111962	4
GO:0071560	GO:0071560	cellular response to transforming growth factor beta stimulus	6/59	264/20973	9.68351663250995e-05	0.00606485038865413	0.00464032749232893	ENSG00000010810/ENSG00000186153/ENSG00000136603/ENSG00000169398/ENSG00000171310/ENSG00000169756	6
GO:0030204	GO:0030204	chondroitin sulfate metabolic process	3/59	32/20973	9.8969344722483e-05	0.00606485038865413	0.00464032749232893	ENSG00000103489/ENSG00000285395/ENSG00000171310	3
GO:0006023	GO:0006023	aminoglycan biosynthetic process	4/59	86/20973	0.000100979529951546	0.00606485038865413	0.00464032749232893	ENSG00000103489/ENSG00000285395/ENSG00000171310/ENSG00000111962	4
GO:0043304	GO:0043304	regulation of mast cell degranulation	3/59	33/20973	0.000108648847357071	0.00606485038865413	0.00464032749232893	ENSG00000128340/ENSG00000136573/ENSG00000285369	3
GO:0071559	GO:0071559	response to transforming growth factor beta	6/59	270/20973	0.000109523257582919	0.00606485038865413	0.00464032749232893	ENSG00000010810/ENSG00000186153/ENSG00000136603/ENSG00000169398/ENSG00000171310/ENSG00000169756	6
GO:0033006	GO:0033006	regulation of mast cell activation involved in immune response	3/59	35/20973	0.000129814784188346	0.00690095392745245	0.00528004553793439	ENSG00000128340/ENSG00000136573/ENSG00000285369	3
GO:0050869	GO:0050869	negative regulation of B cell activation	3/59	37/20973	0.000153496900077173	0.00713527373619898	0.00545932789130586	ENSG00000136573/ENSG00000285369/ENSG00000155307	3
GO:0018108	GO:0018108	peptidyl-tyrosine phosphorylation	7/59	413/20973	0.000154070095420407	0.00713527373619898	0.00545932789130586	ENSG00000010810/ENSG00000114423/ENSG00000169398/ENSG00000136573/ENSG00000285369/ENSG00000155307/ENSG00000026508	7
GO:0043547	GO:0043547	positive regulation of GTPase activity	6/59	318/20973	0.000265738213075254	0.0113924543605488	0.00871657432362293	ENSG00000126353/ENSG00000163219/ENSG00000065882/ENSG00000135905/ENSG00000169756/ENSG00000116473	6
GO:0033003	GO:0033003	regulation of mast cell activation	3/59	46/20973	0.000294539130327725	0.0118618940668348	0.00907575119287345	ENSG00000128340/ENSG00000136573/ENSG00000285369	3
GO:0042113	GO:0042113	B cell activation	6/59	333/20973	0.000339934293037553	0.0131024327939437	0.0100249099670901	ENSG00000166501/ENSG00000153551/ENSG00000136573/ENSG00000285369/ENSG00000135905/ENSG00000155307	6
GO:0002576	GO:0002576	platelet degranulation	2/59	10/20973	0.000345060306838246	0.0131024327939437	0.0100249099670901	ENSG00000136573/ENSG00000285369	2
GO:0043303	GO:0043303	mast cell degranulation	3/59	52/20973	0.000423703917442895	0.0144385258020925	0.0110471790620739	ENSG00000128340/ENSG00000136573/ENSG00000285369	3
GO:0071622	GO:0071622	regulation of granulocyte chemotaxis	3/59	52/20973	0.000423703917442895	0.0144385258020925	0.0110471790620739	ENSG00000126353/ENSG00000128340/ENSG00000169398	3
GO:0002279	GO:0002279	mast cell activation involved in immune response	3/59	54/20973	0.000473651533812179	0.0153532411813752	0.0117470444586024	ENSG00000128340/ENSG00000136573/ENSG00000285369	3
GO:0002448	GO:0002448	mast cell mediated immunity	3/59	54/20973	0.000473651533812179	0.0153532411813752	0.0117470444586024	ENSG00000128340/ENSG00000136573/ENSG00000285369	3
GO:0031346	GO:0031346	positive regulation of cell projection organization	6/59	363/20973	0.000536563787657411	0.0165835645069	0.0126883872430125	ENSG00000010810/ENSG00000126353/ENSG00000136603/ENSG00000128340/ENSG00000257923/ENSG00000116473	6
GO:0070486	GO:0070486	leukocyte aggregation	2/59	13/20973	0.000594864664755942	0.0177573051418318	0.0135864375803014	ENSG00000128340/ENSG00000026508	2
GO:0002507	GO:0002507	tolerance induction	3/59	59/20973	0.00061462455720411	0.0177573051418318	0.0135864375803014	ENSG00000114423/ENSG00000136573/ENSG00000285369	3
GO:0048010	GO:0048010	vascular endothelial growth factor receptor signaling pathway	3/59	59/20973	0.00061462455720411	0.0177573051418318	0.0135864375803014	ENSG00000166501/ENSG00000010810/ENSG00000169398	3
GO:0002886	GO:0002886	regulation of myeloid leukocyte mediated immunity	3/59	67/20973	0.000891378602054749	0.0236928432426152	0.0181278258859976	ENSG00000128340/ENSG00000136573/ENSG00000285369	3
GO:0045576	GO:0045576	mast cell activation	3/59	67/20973	0.000891378602054749	0.0236928432426152	0.0181278258859976	ENSG00000128340/ENSG00000136573/ENSG00000285369	3
GO:0044272	GO:0044272	sulfur compound biosynthetic process	4/59	163/20973	0.00114761554263971	0.0299055109052585	0.0228812510668723	ENSG00000103489/ENSG00000285395/ENSG00000171310/ENSG00000111962	4
GO:0070661	GO:0070661	leukocyte proliferation	6/59	426/20973	0.00123076188560371	0.0314554335762948	0.0240671251314409	ENSG00000010810/ENSG00000114423/ENSG00000128340/ENSG00000169398/ENSG00000136573/ENSG00000285369	6
GO:0030889	GO:0030889	negative regulation of B cell proliferation	2/59	20/20973	0.00143079803382802	0.0358779356029706	0.0274508619796995	ENSG00000136573/ENSG00000285369	2
