pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge	rank
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	0.000101512536798295	0.00249991278106302	-0.69350670904705	-2.21487010989786	0	64	RPL29,RPL26,RPL13A,RPS10,RPS19,RPL28,RPL13,RPL21,RPS9,TPT1,RPL18A,RACK1,RPL18,PTMS,RPL7A,RPL4,EEF1B2,FAU,RPL23,RPS14,EEF2,RPL5,UBA52,RPS27A,RPL24,RPL8,RPS7,RPS3,EIF3F,NBEA,RPS4X,RPL36A,RPS16,RPL10,RPS8,EIF3L,EEF1A1,CS,EIF4B,RPL32	1
ZHENG_FOXP3_TARGETS_IN_T_LYMPHOCYTE_DN	0.000103896103896104	0.00249991278106302	-0.729560852619481	-2.15163920628392	0	34	FOXP1,BACH2,SYNE2,PTPRC,JAK1,RAPGEF6,WNK1,UTRN,PRAG1,ANKRD44,TGFBR2,STK10,SCML4,WIPF1,BCL2,CDK17,CLEC2D,TESPA1	2
FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_UP	0.000101010101010101	0.00249991278106302	-0.660319349840036	-2.14273437466249	0	76	S100A4,IL10RA,GMFG,AIF1,GZMA,PTPRC,ISG20,RBMS1,ADAM15,CELF2,LCP1,RAC2,CSTA,PSMB8,FABP5,CD48,RGS10,CCND3,TNFRSF1B,CD53,LAPTM5,INPP5D,PRKCB,UBE2L6,TMEM131L,IFITM1,ITGB2,CD52,S100A8,CD27,CXCR4,USP9X,RHOH,CORO1A,CD14,CFD,RAB27A,TYMP,UBC,RASSF2	3
FLOTHO_PEDIATRIC_ALL_THERAPY_RESPONSE_UP	0.000102354145342886	0.00249991278106302	-0.676040397162733	-2.08790435042816	0	48	CD69,ITGA6,RPL13A,RPS19,RPL27,FXYD5,AKAP13,IL12RB1,RPS9,TPT1,RPS28,RPL22,FAU,RPL37A,EEF2,RPL5,RPLP0,TOMM20,TMED2,EIF3D,CDC42EP3,MXRA7,RPS20,CLEC2B,RPS16,RAB1A,EIF3L,EIF4B	4
ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_UP	0.000100411687920474	0.00249991278106302	-0.590211103584398	-1.96065387428846	0	101	S100A4,AIF1,TMSB4X,PTPRC,TMSB10,IQGAP1,HLA-A,PSMB9,PLD4,ATP1B3,S100A6,LYZ,TAPBP,NCOA3,CTSS,SH3GL1,S100A9,NCF4,CD53,CLIC1,LGALS3,LAPTM5,ITGB2,CD52,APBB1IP,S100A8,PLAC8,TSPAN4,RRAS,TAP1,IFI16,LGMN,SHISA5,CD14,MT2A,HLA-DRB5,BTG2,SNX10,LITAF,LCP2,CYBB,SIRPA,CD7,STAT1,FGL2,CASP1,MPEG1,SELPLG,CYTIP,HLA-DMA	5
DIRMEIER_LMP1_RESPONSE_EARLY	0.000101988781234064	0.00249991278106302	-0.625601098612368	-1.95910183681592	0	54	SLAMF1,CD69,TNFAIP3,BIRC3,JUN,RPS10,TRAF1,LCP1,FTH1,RPS9,HSP90AB1,TNF,PPP1R15A,EIF1,EEF2,ACTB,NFKBIA,GPR183,MYC,SIAH2,RPS16,IER2,GADD45B,UBE2M,EEF1A1,BTG2,JUND,EGR1	6
BILANGES_SERUM_RESPONSE_TRANSLATION	0.000104854776135053	0.00249991278106302	-0.681259123682248	-1.955329462138	0	28	RPL29,RPS19,RPL21,RPL18A,RACK1,PTMS,RPL4,EEF1B2,RPS7,RPS3,EIF3F,RPS4X,RPL10,RPS8,EEF1A1	7
CHNG_MULTIPLE_MYELOMA_HYPERPLOID_UP	0.000102155480641536	0.00249991278106302	-0.626752092614577	-1.94533259292796	0	50	RPL29,RPL13A,RPS19,RPL28,RPL21,RPS9,RPSA,RPL18,RPL7A,RPL4,RPS15,EEF1B2,RPS14,EEF2,UBA52,RPL24,RPL37,EIF3K,RPL36,RPLP2,RPS3,EIF4A2,CLTA,RPS16,NPM1	8
HOLLEMAN_ASPARAGINASE_RESISTANCE_B_ALL_UP	0.000105451861225351	0.00249991278106302	-0.688194842457464	-1.94185806259237	0	25	RPL13A,RACK1,RPL7A,RPL4,TPM4,EEF1B2,RPL3,RPL5,RPLP0,EIF3K,EIF3D,RPS3,EIF3L,LPCAT1,NOP53,RPL6,GATA3	9
HUTTMANN_B_CLL_POOR_SURVIVAL_DN	0.000102082482645978	0.00249991278106302	-0.620499661072868	-1.93459890223731	0	52	PTK2,SLAMF1,BACH2,AKT3,TPD52,BIRC3,ADARB1,ZBTB20,TCF7,MGAT5,ATP2B1,ADK,MTSS1,USP6NL,VNN2,SMC5	10
GAJATE_RESPONSE_TO_TRABECTEDIN_UP	0.000103273778787566	0.00249991278106302	-0.635956963064455	-1.91084361936509	0	39	S100A4,TLE5,CD44,TAF15,TNFAIP3,SEPTIN6,HLA-C,CRIP1,OASL,FOS,TXNIP,CCNG2,CXCR4,ATF3,CFD,EML2,SRGN,ANXA1,GADD45A,DUSP5,CDKN1A,ISG15,CLIC4	11
SANA_TNF_SIGNALING_UP	0.000101801893515219	0.00249991278106302	-0.604711642057506	-1.90982426905835	0	58	HLA-B,IL32,TNFAIP3,BIRC3,ANO9,HLA-A,HLA-C,IL7R,DNAJA1,TAPBP,FTH1,GBP1,SMAD3,SAT1,NFKBIA,HLA-E,CMPK2,ATP13A3,TNIP1,PARP14	12
KHETCHOUMIAN_TRIM24_TARGETS_UP	0.000105185652676975	0.00249991278106302	-0.666023783288692	-1.90076345567554	0	27	CD44,VIM,TGFBR2,TGFB1,ITGAL,LGALS3,LAPTM5,FOS,LGALS1,BTG2,EGR1,CYBB,STAT1,SAMD4A,CASP1,CDKN1A,UCP2	13
GEISS_RESPONSE_TO_DSRNA_UP	0.00010417751849151	0.00249991278106302	-0.64934202841607	-1.89957012602525	0	32	IQGAP2,CD44,TNFAIP3,TRAF1,GBP1,GCH1,SAT1,CHN1,NFKBIA,TAP1,ATF3,SRGN,BTN3A3,BIRC2,ANXA1	14
LEE_DIFFERENTIATING_T_LYMPHOCYTE	0.0001000100010001	0.00249991278106302	-0.54520420666519	-1.88717486632065	0	195	ITK,PAG1,GMFG,IKZF1,AIF1,ARHGAP15,PRKCH,PTPRC,FYB1,MYCBP2,SEPTIN6,TNFAIP8,ZFP36L2,IL7R,PSMB9,CELF2,RAC2,SP110,PRKCQ,EPB41,CYFIP2,AKAP13,TCF7,CD48,CCND3,ITGAL,FAM107B,LTB,SELL,UBASH3A,SEMA4D,KMT2E,MDM4,AQP3,CD53,ZNF207,SPATA13,CYTH1,TAGAP,TSTD1,LAPTM5,USF3,LPXN,PRKCB,FNBP1,FKBP5,SLFN5,TSPOAP1-AS1,TMEM131L,TXNIP,ITGB2,CD52,APBB1IP,CXCR4,HDAC4,FGFR1,DCLRE1C,PDE7A,RHOH,CORO1A,IPCEF1,TRAF3IP3,GTF3A,RBM33,SASH3,ARHGAP30,ARHGAP25,BTG2,MAP4K1,FLI1,RGCC,BTG1,ARHGDIB,P2RY8,RCSD1,ICOS,CD3G,CRACR2A,NUP210,ICAM2,BCL11B,GATA3,TMC8,ARHGAP45,GPR174,EVL,SELPLG,ADA2,TMC6,MGAT4A,ZNF586,VAMP1,UCP2,VAV1,SH2D1A,NPIPB3	15
KIM_LRRC3B_TARGETS	0.000105329681904361	0.00249991278106302	-0.664833142777656	-1.88665237861312	0	26	HLA-B,HLA-A,HLA-C,LYZ,TAPBP,FTH1,IFITM2,HLA-E,TAP1,IFI16,B2M,EEF1A1,CD59,ISG15,GM2A,PSME2	16
JISON_SICKLE_CELL_DISEASE_DN	0.000100030009002701	0.00249991278106302	-0.547480244705033	-1.88311828105419	0	171	RAP1GAP2,TLE5,JAK1,RUNX3,MCF2L,ITPKB,RPL13A,FYN,ARHGEF18,GLS,RPL13,RBL2,RPL21,SARAF,TGFB1,RPL10A,FAM102A,SRSF5,RPS28,RPL22,ERCC5,RPL19,RPL4,CCR7,TUT4,EEF1B2,ITPR3,SRSF2,EEF2,SMC5,RPL5,RPLP0,PTMA,TXNIP,RPS27A,RPL24,RPL37,EIF3K,GPR183,EIF3D,PRRC2C,RPS7,CXCR4,EIF3F,FNBP4,RPL41,ARHGEF7,USP9X,TSC22D3,BTF3,EIF4A2,RPS20,NPM1,SAP25,IPCEF1,TRAF3IP3,NAP1L1,OTUD3,BRD1,EEF1A1,NACA,CCSER2,TMED10,EIF4B,TOMM7,ATM,BTG1,VPS52,NELL2,RPL6,BBIP1,FAM168B,TMC6,KLF9,CIRBP,RPL17,HLCS,SET,ATP6V0E2,ANP32B,SAFB2,MYOM2,POLG,EIF4A1,RASGRP2,MSH2,MICA,TRAF5,RPS24	17
DIRMEIER_LMP1_RESPONSE_LATE_DN	0.000105329681904361	0.00249991278106302	-0.663431004581606	-1.8826734142798	0	26	RPL29,RPS19,RPS11,PSMB9,CHI3L2,FAU,RPLP0,IFITM1,TXNIP,CD27,HPCAL1,UBC,MAP4K1,BTG1,ARHGDIB,HLA-DMA,ISG15	18
HSIAO_HOUSEKEEPING_GENES	9.99900009999e-05	0.00249991278106302	-0.529088767287711	-1.87917316050893	0	369	HLA-B,NCL,TLE5,TMSB4X,YWHAZ,RPL29,VIM,ABLIM1,CFL1,TMSB10,ACTG1,IQGAP1,HLA-A,ISG20,RPL12,RFTN1,RPL13A,DUSP1,RPS10,RPS19,SPTBN1,RPS11,FYN,RPL27,RPL28,HINT1,RPL13,PTP4A2,FTH1,CHI3L2,RPL21,RPS9,HSP90AB1,TPT1,RPSA,RPL18A,RPL10A,CSTB,CCNI,UQCRB,RPS28,LASP1,EZR,CAPN2,ENO1,RACK1,RPL18,RPL19,CAP1,ATF4,RPL7A,RPL4,MAZ,GNB1,RPL31,CLIC1,EIF1,PSME1,RPS15,MSN,RPS21,RPS2,LGALS3,EEF1B2,TAGLN2,ATP5MC2,RPL37A,SEC61B,RPL23,MYH9,RPS14,EEF2,RPL3,NDUFA12,CAST,RPLP0,ACTB,ALDOA,UBA52,RPS26,PTMA,IFITM1,TXNIP,RPS27A,RPL24,ARF1,SERPINB6,NFKBIA,COX6B1,GDI2,EIF4G2,PGK1,BECN1,RPL34,DDX39B,RPL8,HLA-E,LGALS1,RPLP2,RPS7,RPL38,RPS3,RPS18,EIF3F,RPL41,RPL36A,S100A10,EIF4A2,CLTA,COPA,RPS16,PABPC1,NPM1,RPL39,PIM1,HMGN2,PLP2,RPS8,RPS15A,MPRIP,NAP1L1,CTDSP2,MT2A,FTL,B2M,EEF1A1,NACA,UBC,FUS,TMED10,PSMB3,CYB5R3,BTG2,RHOA,RPL32,ARPC2,JUND,ARHGDIB,COX4I1,NDUFV2,CAPZA1,SPCS2,PSEN1,PFDN5,RPL6,PSD,SF3B2,CSNK2B,NEDD8,CCND2,PCBP2,HLA-DRA,FLNA,HSP90AA1,SNRPD2,PSMB6,CASC3,FKBP1A,CIRBP,RPL17,RPL35,DVL3,NPIPB3,VDAC2,PARP1,SET,NDRG1,SELENOW,CCT4,ANP32B,GSTO1,MLF2,RPS17,HMGB1,PSMD2	19
MCBRYAN_PUBERTAL_BREAST_3_4WK_DN	0.000104253544620517	0.00249991278106302	-0.641343647279307	-1.86780757210209	0	31	RIPOR2,ZBTB16,RPS10,PAM,TCF7,CAP1,TXNDC16,MBP,JPT1,RPL36A,IFI16,PRKAG2,ALAS1,NDUFV2,IDH1,CDKN1A,BCL6,TRAC,NFKB2	20
WIELAND_UP_BY_HBV_INFECTION	0.000100613743837408	0.00249991278106302	-0.566133793940566	-1.86468905816308	0	90	COTL1,IL10RA,HLA-B,GZMA,CFL1,HLA-A,ISG20,PSMB9,RAC2,SP110,LYZ,TAPBP,GBP1,CD48,CD53,PSME1,LGALS3,LAPTM5,LPXN,UBE2L6,IGLC2,PSMB10,HLA-E,PLAC8,CXCR4,PLAAT4,C3AR1,S100A10,IFI16,GIMAP5,SRGN,RAB27A,BTN3A3,B2M,ARHGDIB,STAT1,DENND2D,FGL2,HLA-DRA,HLA-DMA,ADA2,GM2A,PSME2,UCP2,TYROBP	21
DITTMER_PTHLH_TARGETS_DN	0.000101750101750102	0.00249991278106302	-0.589921747074458	-1.85792197944592	0	56	PTK2,LRRFIP1,LMNA,ACTG1,ITGA6,GLS,SP110,RGS10,KDELR2,TCP1,MYH9,ZDHHC7,TBC1D1,PIK3R1,KIF3B,YME1L1,MINK1,CREB1,MT2A,ARPC2,MRPL34,CASP1,HSP90AA1,MAPK6	22
ZHENG_FOXP3_TARGETS_IN_THYMUS_UP	0.0001000200040008	0.00249991278106302	-0.536927496350657	-1.85625471021055	0	190	TBC1D5,PSMA1,SLAMF1,CD84,GPRIN3,ARHGAP15,CD69,TNFAIP3,ITGA6,ZFP36L2,TUBB4B,RAPGEF6,ETS1,RABGAP1L,IL7R,CELF2,WNK1,ZBTB20,ADD3,PDE4B,AKAP13,PVT1,ATP2B1,PIP4K2A,INPP4B,NUP153,NCOA3,MBNL1,ABT1,ELF1,HIF1A,DOCK10,SRSF2,CDK17,SIK3,SMC5,MAP3K1,CAST,REEP3,RPL5,DENND5A,PHTF2,TPP2,STAT5B,NCK2,TESPA1,GPR183,GDI2,STAT4,UBAC2,CXCR4,PIK3R1,KIF3B,HIVEP2,LDLRAD4,FAM3C,ATG16L1,IFI16,CITED2,CHD9,IPCEF1,PPP2R5C,RFX3,ANKRD12,ELK3,MALT1,RAB8B,ARHGEF3,VOPP1,FLI1,LRCH1	23
GNATENKO_PLATELET_SIGNATURE	0.000104275286757039	0.00249991278106302	-0.636536342324901	-1.84566058816594	0	30	TMSB4X,CFL1,CD99,HLA-C,FTH1,RGS10,TAGLN2,ACTB,PTMA,HLA-E,RPL41,TLN1,MYL12A,MYL6,B2M,UBC	24
ZHENG_BOUND_BY_FOXP3	9.99900009999e-05	0.00249991278106302	-0.518020053973195	-1.84552785270831	0	417	FOXP1,TBC1D5,PSMA1,SLAMF1,GPRIN3,PAG1,GNG2,TMSB4X,SYNE2,ARHGAP15,PRKCH,CD44,CD69,SP100,PTPRC,ABLIM1,CAMK4,IL2RA,FYB1,TNRC6B,JAK1,TNFAIP3,PRDM1,ITGA6,ZFP36L2,RAPGEF6,LEPROTL1,ETS1,SPTBN1,RABGAP1L,IL7R,FYN,ELMO1,CELF2,UST,LCP1,NINJ2,UTRN,ATP1B3,ZBTB20,PRAG1,ADD3,PRKCQ,EPB41,MACF1,ANKRD44,PDE4B,RBL2,AKAP13,SMAD3,TGFBR2,MGAT5,PVT1,ATP2B1,STK10,RGS10,SCML4,PIP4K2A,GRK6,INPP4B,NUP153,NCOA3,FAM107B,WIPF1,ACTR3,MBNL1,SELL,MLLT3,ABT1,PARP8,CCR7,CD226,CTLA4,CD53,USP6NL,ELF1,HIF1A,SAMSN1,BTLA,CYTH1,NDC80,ST6GAL1,DOCK10,CDC42SE2,BCL2,USF3,CDK17,SIK3,MAP3K1,CAST,REEP3,DENND5A,PHTF2,CLEC2D,TPP2,STAT5B,NCK2,TESPA1,RPL37,GPR183,GDI2,ETV3,APBB1IP,STAT4,OPRM1,MRTFA,RAP1A,UBAC2,PTPRK,HIVEP2,PDE7A,LDLRAD4,FAM3C,RHOH,IFI16,FBLN5,CITED2,TRAF3IP3,PPP2R5C,RFX3,IFNG,ELK3,TMEM222,PYM1,MALT1,NSD3,BICDL1,HERC3,RAB8B,PPP1R3F,ULK4,ANKRD11,ARHGEF3,ARHGAP25,DAD1,SLC23A2,FRS2,UBASH3B,VOPP1,ANXA1,CIPC,FLI1,SMAP2,LRCH1,TG,SH3KBP1,RCSD1,NDUFV2,CDK19,RCBTB2,TRIM27,CHD2,IDH1,ICOS,ANKRD55,BCL11B,GATA3,SGMS1,CX3CR1	25
SABATES_COLORECTAL_ADENOMA_UP	0.00010575296108291	0.00249991278106302	-0.65653117052865	-1.84039016442258	0	24	CD44,LINC00963,ACSL6,SLC7A5,NFE2L3,PTP4A3,S100A8,SLC6A6,NAP1L1,GALNT6,RTEL1,NKD1	26
PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_DN	0.000100140196274785	0.00249991278106302	-0.541252517910769	-1.83975783625567	0	139	AFF3,RIPOR2,BACH2,COTL1,GMFG,ARHGAP15,LIMD2,TMSB10,EMB,TNFAIP8,SH3BP5,ETS1,CELF2,ARHGEF18,LCP1,CRIP1,GPD1L,ANKRD44,CYFIP2,PLEKHA2,CCR7,CLIC1,PHC2,MYO1G,CKLF,CD37,PRKCB,RFX7,CBFB,PUM2,STAG2,CPSF6,BRD3,CXXC5,S100A10,RIN3,CORO1A,NAP1L1,NUCKS1,CAMKK2,SASH3,ANP32E,BCL7A,FUS,CDKN2D,TMEM243,NEDD9,BTG1,ARHGDIB,SH3KBP1,RCSD1,CDK19,SERPINB1,ANKRD13A,STK4	27
RODWELL_AGING_KIDNEY_UP	9.99900009999e-05	0.00249991278106302	-0.515711261292104	-1.82909315632895	0	352	IL10RA,GNG2,HLA-B,GMFG,IKZF1,IL32,GZMA,EMP3,CD69,VIM,PTPRC,FYB1,ACTN1,RUNX2,MYO1F,TMSB10,RUNX3,BIRC3,ARHGAP10,HLA-A,RPL12,RFTN1,CCM2,RPL13A,RPS10,RPS19,MAP4,RPL27,PSMB9,CELF2,RPL28,VASH1,PAM,RAC2,CRIP1,PRAG1,FXYD5,KLF8,LYZ,TAPBP,CHI3L2,PSMB8,PPP1R18,LDLRAP1,STK10,RGS10,ZCCHC7,CCND3,IL4I1,LASP1,LTB,SLFN11,P4HB,RPL18,CD53,CLIC1,RPS2,NLRC5,TAGLN2,ODF3B,LAPTM5,ITPR3,FAU,SPON1,ADAM8,TRIM47,SOCS3,TBXAS1,FNBP1,SLFN5,IFITM1,ITGB2,IGLC2,PSMB10,JAZF1,APBB1IP,NUP62,RPS6KA1,HLA-E,RNF166,PGLS,RPLP2,PARP14,CXCR4,TIMP1,PLAAT4,PPP1R14B,PLOD3,REEP4,DPP3,LDLRAD4,ASAP1,TAP1,RIN3,TPM3,RGS19,SLC6A6,RPL10,RNF213,DLGAP1,RAB4B,CORO1A,SHISA5,DEGS1,CD14,ABRACL,SRGN,PPM1M,TYMP,BTN3A3,ARHGAP30,RAB8B,GLIPR2,KIAA0930,ARHGAP25,TMEM243,RHOA,SPON2,VOPP1,LPCAT1,ARHGDIB,LCP2,HLA-G,IRF8,SVBP,DOCK11,FDXR,CASP1,CX3CR1,CCND2,ARHGAP45,MVP,MPEG1,SELPLG,FLT3LG,LY6E,HLA-DRA,HLA-DMA,TMC6,ATP8B2,PSME2,NKG7,KRTCAP2,RPL35,MYDGF,PTPRE,LYN,TYROBP,SYNGR2,LMF2,RARRES1,PLEKHO1,CARD8-AS1,NUS1,CCR1,CYBC1	28
MARSON_FOXP3_TARGETS_UP	0.000101698362656361	0.00249991278106302	-0.576450587299968	-1.82702943933204	0	60	S100A4,TNFRSF4,CD44,VIM,ETS1,CELF2,RAC2,CRIP1,S100A6,MALAT1,PNP,PSMB8,STK10,TIAM1,NCF4,MYH9,CAPG,TGFBR1,SWAP70,S100A10,CORO1A,TNK2,RSRP1,DDIT4,MAPRE2,RCSD1,IRF8,GM2A,NKG7,SNX18,HNRNPLL,SLC2A3,LRRC8C,SLC9A3R1,CYB5A	29
ZHOU_TNF_SIGNALING_4HR	0.000102901831652603	0.00249991278106302	-0.600954628528375	-1.82510690789873	0	42	ELOVL5,NCL,IL32,TGFBR3,PSMB8,NFKB1,EEF2,ITGB2,NFKBIA,GDI2,TNIP1,MYL12A,MYL6,RPL10,PLP2,RPS8,FAM50A,PPP1R10,GADD45A,CD59	30
NEMETH_INFLAMMATORY_RESPONSE_LPS_UP	0.000101276078590237	0.00249991278106302	-0.562509642451887	-1.81021528235582	0	69	CD44,SLFN12L,PNP,TGFB1,STK10,GCH1,LTB,TNF,NFKB1,SAT1,PML,TNFRSF1B,EIF1,NFKBIA,APBB1IP,TNIP1,C3AR1,TAP1,IFI16,ATF3,IER2,CITED2,MLLT11,DEGS1,ETF1,SRGN,MT2A,SLC11A1,TRIM25,JUND,LCP2,STAT1,IFRD1,CDKN1A,MAPKAPK2,MARCKSL1,WSB1,CFLAR,TXNRD1,PRKCD	31
LINDGREN_BLADDER_CANCER_CLUSTER_2B	1e-04	0.00249991278106302	-0.517280176432507	-1.80664111182353	0	242	PTK2,MICAL2,COTL1,IQGAP2,ITK,IL10RA,AIF1,IL32,YWHAZ,ARHGAP15,PRKCH,EMP3,FYB1,RUNX2,MYO1F,TNFAIP3,RUNX3,BIRC3,GRK5,JUN,ISG20,IL7R,FYN,CELF2,TRAF1,LCP1,RAC2,CRIP1,YKT6,LYZ,TCF7,PPP1R18,ANXA6,RGS10,ITGAL,SLFN11,FILIP1L,SELL,CHSY1,MPP1,SAMSN1,MSN,ST6GAL1,LAPTM5,SERPINF1,RALB,CALM1,PPP1R16B,SOCS3,PHTF2,TMEM131L,TGFBR1,IFITM1,IFITM2,CERK,CD52,NFKBIA,HLA-E,LGALS1,NEK6,CDC42EP3,WHRN,MAP3K20,CXCR4,C3AR1,TSC22D3,RHOH,KLRG1,IER2,GADD45B,MAFB,AFF1,SRGN,MT2A,MALT1,ARHGAP30,GLIPR2,HLA-DRB5,TTC7A,ARPC2,LCP2,EGR1,PNMA1,SH3KBP1,MAPK7,CYBB,SIRPA,FGL2,TACC1,FAM200B,DUSP5,JAK3,RPS19BP1,NFKBIE,HLA-DRA,HLA-DMA	32
PURBEY_TARGETS_OF_CTBP1_AND_SATB1_UP	0.000102082482645978	0.00249991278106302	-0.577144336169341	-1.79942531677639	0	52	PSMA1,NEAT1,RPS10,PPP1CA,DDX17,RPSA,CCNI,RPL7A,COA1,EEF2,ACTB,RPL34,CPNE1,ABHD6,DGUOK,CHEK2,PIM1,PFKFB4	33
