pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge	rank
FLOTHO_PEDIATRIC_ALL_THERAPY_RESPONSE_UP	0.000102543068088597	0.00396822649868476	-0.654755126911773	-2.18164018075592	0	48	CD69,RPS9,RPL13A,ITGA6,RPL27,RPS19,RPL37A,FXYD5,RPL5,FAU,IL12RB1,AKAP13,TPT1,RPL22,RPS28,CLEC2B,EEF2,TBC1D15,EIF3D,EIF4B,MXRA7,RPL17,TOMM20,RPLP0,RPS16,TMED2,CDC42EP3,KLF10,EIF3L,SLC38A2	1
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	0.000101512536798295	0.00396822649868476	-0.62942331016896	-2.17724737483708	0	64	RPL26,RPL29,RPS9,RPL13A,RPS10,RPL28,RPL13,RPL21,RPS19,RPL18A,PTMS,RPL7A,RPL24,RPL5,NOP53,RPL18,FAU,RACK1,CS,TPT1,RPL4,UBA52,EEF2,EIF3F,RPS8,RPS14,EEF1B2,EIF4B,RPS4X,RPS27A,RPS3,RPS7,RPS16,EIF3L,RPL23,RPL10,NBEA	2
ZHENG_FOXP3_TARGETS_IN_T_LYMPHOCYTE_DN	0.000104155817102385	0.00396822649868476	-0.682894584093792	-2.16236216055285	0	34	FOXP1,BACH2,SYNE2,PTPRC,ANKRD44,JAK1,STK10,RAPGEF6,PRAG1,WNK1,UTRN,BCL2,TGFBR2,CDK17,SCML4	3
FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_UP	0.000101050929668553	0.00396822649868476	-0.598724721810356	-2.10797269956857	0	76	S100A4,IL10RA,GMFG,AIF1,PTPRC,GZMA,CELF2,ISG20,CSTA,CORO1A,CD48,LCP1,RBMS1,FABP5,RAC2,ADAM15,RGS10,CCND3,LAPTM5,PSMB8,CD14,PRKCB,CD53,CD52,UBE2L6,ITGB2,TMEM131L,IFITM1,TNFRSF1B,USP9X,INPP5D,RASSF2	4
HUTTMANN_B_CLL_POOR_SURVIVAL_DN	0.000102145045965271	0.00396822649868476	-0.601370988752582	-2.0258885746671	0	52	PTK2,SLAMF1,BACH2,BIRC3,TPD52,AKT3,ZBTB20,MGAT5,ADARB1,MTSS1,SMC5,VNN2,ATP2B1,TCF7,ADK,USP6NL	5
LIU_SMARCA4_TARGETS	0.000107296137339056	0.00396822649868476	-0.67856464528631	-1.98080500654106	0	21	AHNAK,IL32,LRRC61,CD53,IFITM2,IFITM1,ITPR3,EBF4	6
MORI_LARGE_PRE_BII_LYMPHOCYTE_DN	0.000102040816326531	0.00396822649868476	-0.578301571306496	-1.9575887328287	0	54	RIPOR2,IL10RA,BIRC3,PTPRC,NEAT1,LCP1,MACF1,PIP4K2A,IL4I1,IRF8,LPP,BTG1,LTB,SEMA4D,CD79B,CXCR5,CTSS,SERPINB1,HLA-DMA,WIPF1,CAPG,RGL2	7
CHNG_MULTIPLE_MYELOMA_HYPERPLOID_UP	0.00010225994477963	0.00396822649868476	-0.57936793453169	-1.94169183583824	0	50	RPL29,RPS9,RPL13A,RPL28,RPL21,RPS19,RPSA,RPL7A,RPL24,RPLP2,RPL18,RPS15,RPL4,RPL36,UBA52,EEF2,RPS14,EIF3K,EEF1B2,CLTA,RPS3,NPM1,RPS16,IMP3,SNRNP70,RPLP1	8
GAUSSMANN_MLL_AF4_FUSION_TARGETS_G_DN	0.000106780565936999	0.00396822649868476	-0.657596137131349	-1.93506410960849	0	22	AHNAK,NMT2,ELMO1,GCH1,WDR62,RPS6KA2,VCAN,TMEM243,NSD2,CCDC91,ZCCHC2,AKR1B1,RAB39B	9
DIRMEIER_LMP1_RESPONSE_EARLY	0.000102040816326531	0.00396822649868476	-0.569354661264079	-1.92730285576788	0	54	SLAMF1,BIRC3,CD69,TNFAIP3,RPS9,RPS10,JUN,FTH1,TRAF1,LCP1,HSP90AB1,TNF,PPP1R15A,EIF1,EEF2,ACTB,GADD45B,NFKBIZ,UBE2M,RPS16,ZFP36,IER2,DUSP5,JUND,INSIG1,SIAH2,MCL1,NFKBIA,EEF1A1,GPR183,MYC	10
