time,n_bulks,n_features,method
0.004786491394042969,100,1,sc
0.0017361640930175781,100,1,esda
0.003008127212524414,100,1,sc
0.0016322135925292969,100,1,esda
0.003041982650756836,100,1,sc
0.001600027084350586,100,1,esda
0.0030183792114257812,100,1,sc
0.001642465591430664,100,1,esda
0.003034830093383789,100,1,sc
0.001596212387084961,100,1,esda
0.0030012130737304688,100,1,sc
0.0015859603881835938,100,1,esda
0.0030260086059570312,100,1,sc
0.0016703605651855469,100,1,esda
0.0030105113983154297,100,1,sc
0.0015759468078613281,100,1,esda
0.003122568130493164,100,10,sc
0.009828567504882812,100,10,esda
0.0030803680419921875,100,10,sc
0.009853363037109375,100,10,esda
0.0031104087829589844,100,10,sc
0.009908199310302734,100,10,esda
0.003075838088989258,100,10,sc
0.009889841079711914,100,10,esda
0.0031218528747558594,100,10,sc
0.009947538375854492,100,10,esda
0.0030906200408935547,100,10,sc
0.010838747024536133,100,10,esda
0.003528118133544922,100,10,sc
0.009996652603149414,100,10,esda
0.003089427947998047,100,10,sc
0.00984644889831543,100,10,esda
0.003591299057006836,100,100,sc
0.09441947937011719,100,100,esda
0.003554105758666992,100,100,sc
0.09164667129516602,100,100,esda
0.003579378128051758,100,100,sc
0.09140944480895996,100,100,esda
0.003568410873413086,100,100,sc
0.09164309501647949,100,100,esda
0.003551959991455078,100,100,sc
0.08882641792297363,100,100,esda
0.0035555362701416016,100,100,sc
0.09218478202819824,100,100,esda
0.0034999847412109375,100,100,sc
0.09168648719787598,100,100,esda
0.003513813018798828,100,100,sc
0.09544610977172852,100,100,esda
0.005707502365112305,100,500,sc
0.4494192600250244,100,500,esda
0.0054433345794677734,100,500,sc
0.4516408443450928,100,500,esda
0.005517005920410156,100,500,sc
0.4386720657348633,100,500,esda
0.005493879318237305,100,500,sc
0.44319820404052734,100,500,esda
0.005430459976196289,100,500,sc
0.4432833194732666,100,500,esda
0.0053997039794921875,100,500,sc
0.4447605609893799,100,500,esda
0.005486488342285156,100,500,sc
0.4364662170410156,100,500,esda
0.005454063415527344,100,500,sc
0.4414558410644531,100,500,esda
0.009473323822021484,100,1000,sc
0.8761446475982666,100,1000,esda
0.007746696472167969,100,1000,sc
0.8817744255065918,100,1000,esda
0.007553577423095703,100,1000,sc
0.9009208679199219,100,1000,esda
0.008387327194213867,100,1000,sc
0.8864316940307617,100,1000,esda
0.00777888298034668,100,1000,sc
0.8729252815246582,100,1000,esda
0.007515668869018555,100,1000,sc
0.892303466796875,100,1000,esda
0.008413553237915039,100,1000,sc
0.8782751560211182,100,1000,esda
0.007936477661132812,100,1000,sc
0.8899581432342529,100,1000,esda
0.01195526123046875,100,2000,sc
1.7771573066711426,100,2000,esda
0.012529611587524414,100,2000,sc
1.745513916015625,100,2000,esda
0.011781454086303711,100,2000,sc
1.7522392272949219,100,2000,esda
0.012374162673950195,100,2000,sc
1.761448860168457,100,2000,esda
0.011559486389160156,100,2000,sc
1.7932584285736084,100,2000,esda
0.01248621940612793,100,2000,sc
1.7921867370605469,100,2000,esda
0.011444091796875,100,2000,sc
1.7710704803466797,100,2000,esda
0.011866331100463867,100,2000,sc
1.7893643379211426,100,2000,esda
0.025643110275268555,100,5000,sc
4.43635368347168,100,5000,esda
0.024446725845336914,100,5000,sc
4.396863222122192,100,5000,esda
0.02336883544921875,100,5000,sc
4.402663469314575,100,5000,esda
0.024459123611450195,100,5000,sc
4.4060351848602295,100,5000,esda
0.025058507919311523,100,5000,sc
4.418628454208374,100,5000,esda
0.02390742301940918,100,5000,sc
4.402188062667847,100,5000,esda
0.023821353912353516,100,5000,sc
4.4286932945251465,100,5000,esda
0.023589372634887695,100,5000,sc
4.437362909317017,100,5000,esda
0.04698038101196289,100,10000,sc
8.71069049835205,100,10000,esda
0.04339194297790527,100,10000,sc
8.713606357574463,100,10000,esda
0.04378032684326172,100,10000,sc
8.777698755264282,100,10000,esda
0.045716285705566406,100,10000,sc
8.914605140686035,100,10000,esda
0.04545783996582031,100,10000,sc
8.914682388305664,100,10000,esda
0.04452228546142578,100,10000,sc
8.717331886291504,100,10000,esda
0.044901132583618164,100,10000,sc
8.767374753952026,100,10000,esda
0.04308462142944336,100,10000,sc
8.671846389770508,100,10000,esda
0.006043672561645508,500,1,sc
0.0048220157623291016,500,1,esda
0.0060253143310546875,500,1,sc
0.00485682487487793,500,1,esda
0.005889892578125,500,1,sc
0.004756927490234375,500,1,esda
0.005943775177001953,500,1,sc
0.004828929901123047,500,1,esda
0.005843400955200195,500,1,sc
0.004731893539428711,500,1,esda
0.006305694580078125,500,1,sc
0.004801750183105469,500,1,esda
0.005917787551879883,500,1,sc
0.004923343658447266,500,1,esda
0.006108283996582031,500,1,sc
0.0050275325775146484,500,1,esda
0.006260395050048828,500,10,sc
0.04143643379211426,500,10,esda
0.006244659423828125,500,10,sc
0.04077863693237305,500,10,esda
0.006163597106933594,500,10,sc
0.04005551338195801,500,10,esda
0.006333112716674805,500,10,sc
0.040102243423461914,500,10,esda
0.0060656070709228516,500,10,sc
0.0395808219909668,500,10,esda
0.0064105987548828125,500,10,sc
0.040660858154296875,500,10,esda
0.006377220153808594,500,10,sc
0.04103970527648926,500,10,esda
0.00651240348815918,500,10,sc
0.042877912521362305,500,10,esda
0.008378982543945312,500,100,sc
0.40212416648864746,500,100,esda
0.008341550827026367,500,100,sc
0.4013485908508301,500,100,esda
0.008136272430419922,500,100,sc
0.39983272552490234,500,100,esda
0.008138895034790039,500,100,sc
0.40370678901672363,500,100,esda
0.008102893829345703,500,100,sc
0.3974878787994385,500,100,esda
0.008002281188964844,500,100,sc
0.40494298934936523,500,100,esda
0.007882833480834961,500,100,sc
0.3968536853790283,500,100,esda
0.007856130599975586,500,100,sc
0.394606351852417,500,100,esda
0.015568017959594727,500,500,sc
1.97525954246521,500,500,esda
0.015811920166015625,500,500,sc
1.9639678001403809,500,500,esda
0.015510797500610352,500,500,sc
1.967421054840088,500,500,esda
0.01528167724609375,500,500,sc
1.950972318649292,500,500,esda
0.015280961990356445,500,500,sc
1.964181661605835,500,500,esda
0.016746044158935547,500,500,sc
1.9308462142944336,500,500,esda
0.016083240509033203,500,500,sc
1.944601058959961,500,500,esda
0.01617717742919922,500,500,sc
1.930903673171997,500,500,esda
0.024640798568725586,500,1000,sc
3.8884999752044678,500,1000,esda
0.02413630485534668,500,1000,sc
3.923513174057007,500,1000,esda
0.02404046058654785,500,1000,sc
3.922449827194214,500,1000,esda
0.024228811264038086,500,1000,sc
3.8986763954162598,500,1000,esda
0.02419281005859375,500,1000,sc
3.961160182952881,500,1000,esda
0.02430415153503418,500,1000,sc
3.9506211280822754,500,1000,esda
0.02562546730041504,500,1000,sc
3.9441022872924805,500,1000,esda
0.025353193283081055,500,1000,sc
3.9338748455047607,500,1000,esda
0.04248332977294922,500,2000,sc
7.924156427383423,500,2000,esda
0.04401588439941406,500,2000,sc
7.835836410522461,500,2000,esda
0.0437016487121582,500,2000,sc
