time,n_bulks,n_features,method
0.004178524017333984,100,1,sc
0.0015821456909179688,100,1,esda
0.0028460025787353516,100,1,sc
0.0014872550964355469,100,1,esda
0.0028107166290283203,100,1,sc
0.0014927387237548828,100,1,esda
0.0028035640716552734,100,1,sc
0.0014717578887939453,100,1,esda
0.002795696258544922,100,1,sc
0.0014886856079101562,100,1,esda
0.0027976036071777344,100,1,sc
0.0015151500701904297,100,1,esda
0.0034093856811523438,100,1,sc
0.001508474349975586,100,1,esda
0.002795696258544922,100,1,sc
0.0015134811401367188,100,1,esda
0.0029973983764648438,100,10,sc
0.009450674057006836,100,10,esda
0.0029287338256835938,100,10,sc
0.011348962783813477,100,10,esda
0.0030646324157714844,100,10,sc
0.009416341781616211,100,10,esda
0.0030629634857177734,100,10,sc
0.00938725471496582,100,10,esda
0.002963542938232422,100,10,sc
0.00947260856628418,100,10,esda
0.003029346466064453,100,10,sc
0.00944209098815918,100,10,esda
0.002927541732788086,100,10,sc
0.009346961975097656,100,10,esda
0.003031015396118164,100,10,sc
0.009406566619873047,100,10,esda
0.003865957260131836,100,100,sc
0.08671021461486816,100,100,esda
0.003481626510620117,100,100,sc
0.08456182479858398,100,100,esda
0.0035247802734375,100,100,sc
0.08429336547851562,100,100,esda
0.0034875869750976562,100,100,sc
0.08407044410705566,100,100,esda
0.003550291061401367,100,100,sc
0.08450865745544434,100,100,esda
0.003548145294189453,100,100,sc
0.08415436744689941,100,100,esda
0.00351715087890625,100,100,sc
0.08408880233764648,100,100,esda
0.0035545825958251953,100,100,sc
0.0847017765045166,100,100,esda
0.006770610809326172,100,500,sc
0.414478063583374,100,500,esda
0.006496906280517578,100,500,sc
0.418506383895874,100,500,esda
0.006047248840332031,100,500,sc
0.41202378273010254,100,500,esda
0.006089687347412109,100,500,sc
0.4180448055267334,100,500,esda
0.00602412223815918,100,500,sc
0.41780686378479004,100,500,esda
0.00645899772644043,100,500,sc
0.4221475124359131,100,500,esda
0.006543397903442383,100,500,sc
0.42304134368896484,100,500,esda
0.010076522827148438,100,500,sc
0.4277207851409912,100,500,esda
0.01820826530456543,100,1000,sc
0.8412976264953613,100,1000,esda
0.00914764404296875,100,1000,sc
0.8392484188079834,100,1000,esda
0.013565301895141602,100,1000,sc
0.8403654098510742,100,1000,esda
0.009230852127075195,100,1000,sc
0.8433852195739746,100,1000,esda
0.010341405868530273,100,1000,sc
0.8453185558319092,100,1000,esda
0.009976387023925781,100,1000,sc
0.8320255279541016,100,1000,esda
0.009215593338012695,100,1000,sc
0.837364673614502,100,1000,esda
0.009182929992675781,100,1000,sc
0.8301568031311035,100,1000,esda
0.017438411712646484,100,2000,sc
1.6547768115997314,100,2000,esda
0.015249252319335938,100,2000,sc
1.6683144569396973,100,2000,esda
0.015804052352905273,100,2000,sc
1.6612684726715088,100,2000,esda
0.014873266220092773,100,2000,sc
1.6623773574829102,100,2000,esda
0.014696359634399414,100,2000,sc
1.6566908359527588,100,2000,esda
0.01519155502319336,100,2000,sc
1.6611015796661377,100,2000,esda
0.016523361206054688,100,2000,sc
1.6631674766540527,100,2000,esda
0.014966249465942383,100,2000,sc
1.6793873310089111,100,2000,esda
0.03452801704406738,100,5000,sc
4.168349027633667,100,5000,esda
0.031760454177856445,100,5000,sc
4.165294885635376,100,5000,esda
0.0319821834564209,100,5000,sc
